day,month,week
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,3
14,1,3
15,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,4
21,1,4
22,1,4
23,1,4
24,1,4
25,1,4
26,1,4
27,1,5
28,1,5
29,1,5
30,1,5
31,1,5
1,2,5
2,2,5
3,2,6
4,2,6
5,2,6
6,2,6
7,2,6
8,2,6
9,2,6
10,2,7
11,2,7
12,2,7
13,2,7
14,2,7
15,2,7
16,2,7
17,2,8
18,2,8
19,2,8
20,2,8
21,2,8
22,2,8
23,2,8
24,2,9
25,2,9
26,2,9
27,2,9
28,2,9
29,2,9
1,3,9
2,3,10
3,3,10
4,3,10
5,3,10
6,3,10
7,3,10
8,3,10
9,3,11
10,3,11
11,3,11
12,3,11
13,3,11
14,3,11
15,3,11
16,3,12
17,3,12
18,3,12
19,3,12
20,3,12
21,3,12
22,3,12
23,3,13
24,3,13
25,3,13
26,3,13
27,3,13
28,3,13
29,3,13
30,3,14
31,3,14
1,4,14
2,4,14
3,4,14
4,4,14
5,4,14
6,4,15
7,4,15
8,4,15
9,4,15
10,4,15
11,4,15
12,4,15
13,4,16
14,4,16
15,4,16
16,4,16
17,4,16
18,4,16
19,4,16
20,4,17
21,4,17
22,4,17
23,4,17
24,4,17
25,4,17
26,4,17
27,4,18
28,4,18
29,4,18
30,4,18
1,5,18
2,5,18
3,5,18
4,5,19
5,5,19
6,5,19
7,5,19
8,5,19
9,5,19
10,5,19
11,5,20
12,5,20
13,5,20
14,5,20
15,5,20
16,5,20
17,5,20
