date,week
01/01/2020,1
02/01/2020,1
03/01/2020,1
04/01/2020,1
05/01/2020,1
06/01/2020,2
07/01/2020,2
08/01/2020,2
09/01/2020,2
10/01/2020,2
11/01/2020,2
12/01/2020,2
13/01/2020,3
14/01/2020,3
15/01/2020,3
16/01/2020,3
17/01/2020,3
18/01/2020,3
19/01/2020,3
20/01/2020,4
21/01/2020,4
22/01/2020,4
23/01/2020,4
24/01/2020,4
25/01/2020,4
26/01/2020,4
27/01/2020,5
28/01/2020,5
29/01/2020,5
30/01/2020,5
31/01/2020,5
01/02/2020,5
02/02/2020,5
03/02/2020,6
04/02/2020,6
05/02/2020,6
06/02/2020,6
07/02/2020,6
08/02/2020,6
09/02/2020,6
10/02/2020,7
11/02/2020,7
12/02/2020,7
13/02/2020,7
14/02/2020,7
15/02/2020,7
16/02/2020,7
17/02/2020,8
18/02/2020,8
19/02/2020,8
20/02/2020,8
21/02/2020,8
22/02/2020,8
23/02/2020,8
24/02/2020,9
25/02/2020,9
26/02/2020,9
27/02/2020,9
28/02/2020,9
29/02/2020,9
01/03/2020,9
02/03/2020,10
03/03/2020,10
04/03/2020,10
05/03/2020,10
06/03/2020,10
07/03/2020,10
08/03/2020,10
09/03/2020,11
10/03/2020,11
11/03/2020,11
12/03/2020,11
13/03/2020,11
14/03/2020,11
15/03/2020,11
16/03/2020,12
17/03/2020,12
18/03/2020,12
19/03/2020,12
20/03/2020,12
21/03/2020,12
22/03/2020,12
23/03/2020,13
24/03/2020,13
25/03/2020,13
26/03/2020,13
27/03/2020,13
28/03/2020,13
29/03/2020,13
30/03/2020,14
31/03/2020,14
01/04/2020,14
02/04/2020,14
03/04/2020,14
04/04/2020,14
05/04/2020,14
06/04/2020,15
07/04/2020,15
08/04/2020,15
09/04/2020,15
10/04/2020,15
11/04/2020,15
12/04/2020,15
13/04/2020,16
14/04/2020,16
15/04/2020,16
16/04/2020,16
17/04/2020,16
18/04/2020,16
19/04/2020,16
20/04/2020,17
21/04/2020,17
22/04/2020,17
23/04/2020,17
24/04/2020,17
25/04/2020,17
26/04/2020,17
27/04/2020,18
28/04/2020,18
29/04/2020,18
30/04/2020,18
01/05/2020,18
02/05/2020,18
03/05/2020,18
04/05/2020,19
05/05/2020,19
06/05/2020,19
07/05/2020,19
08/05/2020,19
09/05/2020,19
10/05/2020,19
11/05/2020,20
12/05/2020,20
13/05/2020,20
14/05/2020,20
15/05/2020,20
16/05/2020,20
17/05/2020,20
18/05/2020,21
19/05/2020,21
20/05/2020,21
21/05/2020,21
22/05/2020,21
23/05/2020,21
24/05/2020,21
25/05/2020,22
26/05/2020,22
27/05/2020,22
28/05/2020,22
29/05/2020,22
30/05/2020,22
31/05/2020,22
